time	S1	S2
15.0	0.18271686136722565	
23.0	0.14129576086997986	0.26993295550346375
43.0	0.029397277161478996	0.4187130331993103
119.0	-0.09554954618215561	0.4048593044281006
188.0	-0.13302777707576752	0.3052688539028168
211.0	-0.06675221025943756	0.14288516342639923
221.0	0.08590147644281387	-0.07807790488004684
223.0	0.22921429574489594	-0.2946757674217224
246.0	0.1989334523677826	-0.4256332218647003
294.0	0.011448971927165985	-0.4677850604057312
345.0	-0.14300437271595	-0.4400087893009186
350.0	-0.1853029429912567	-0.3703579306602478
357.0	-0.14395391941070557	-0.2695149779319763
358.0	-0.04049862548708916	-0.13063503801822662
359.0	0.1098446324467659	0.058535680174827576
441.0	0.214157834649086	0.2526368200778961
450.0	0.16047842800617218	0.3660023808479309
466.0	0.01071187574416399	0.3912925720214844
474.0	-0.10491356998682022	0.348084956407547
490.0	-0.12211229652166367	0.24748069047927856
500.0	-0.04975731670856476	0.09022694081068039
517.0	0.08247268199920654	-0.12143909931182861
518.0	0.17103061079978943	-0.326786071062088
550.0	0.06678670644760132	-0.45620596408843994
677.0	-0.15218813717365265	-0.48875898122787476
694.0	-0.27519553899765015	-0.4523769021034241
738.0	-0.3001086413860321	-0.38913848996162415
749.0	-0.282283216714859	-0.31844374537467957
762.0	-0.24745644629001617	-0.24994726479053497
769.0	-0.20689080655574799	-0.19268974661827087
783.0	-0.1701425462961197	-0.15854908525943756
784.0	-0.14977963268756866	-0.16132421791553497
