time	S1	S2
5.0	0.17989784479141235	
57.0	0.1371011734008789	0.25574082136154175
78.0	0.0321212001144886	0.4044034779071808
79.0	-0.08669963479042053	0.395300954580307
93.0	-0.125341534614563	0.3015950322151184
94.0	-0.06425093859434128	0.1462874561548233
104.0	0.08147107809782028	-0.06502404063940048
106.0	0.22516603767871857	-0.27589499950408936
192.0	0.21108640730381012	-0.40850016474723816
224.0	0.03732036426663399	-0.4586526155471802
225.0	-0.12348706275224686	-0.4394347667694092
233.0	-0.17773526906967163	-0.3763989210128784
240.0	-0.14545974135398865	-0.281447172164917
268.0	-0.04951171204447746	-0.14975234866142273
275.0	0.09582210332155228	0.03098069131374359
276.0	0.20935338735580444	0.22503158450126648
304.0	0.17391948401927948	0.3471827208995819
320.0	0.03224712237715721	0.38261231780052185
321.0	-0.09050898998975754	0.34940293431282043
392.0	-0.12027179449796677	0.25904765725135803
411.0	-0.059943199157714844	0.11434655636548996
412.0	0.06491043418645859	-0.08437039703130722
427.0	0.16990672051906586	-0.289681613445282
428.0	0.10698128491640091	-0.43098095059394836
456.0	-0.10500721633434296	-0.4837356507778168
492.0	-0.2544996440410614	-0.46021568775177
510.0	-0.2957872450351715	-0.4023301601409912
511.0	-0.2842506766319275	-0.3331466019153595
537.0	-0.25089696049690247	-0.26324671506881714
538.0	-0.20863287150859833	-0.2011321485042572
565.0	-0.16668958961963654	-0.1577243208885193
608.0	-0.13741640746593475	-0.14710427820682526
609.0	-0.13428136706352234	-0.18064908683300018
614.0	-0.16587965190410614	-0.25526508688926697
646.0	-0.22888979315757751	-0.3424171507358551
658.0	-0.2979787588119507	-0.40257859230041504
659.0	-0.34619423747062683	-0.42584261298179626
660.0	-0.3717963695526123	-0.42886626720428467
666.0	-0.38325372338294983	-0.4268312156200409
683.0	-0.38663744926452637	-0.42642903327941895
684.0	-0.38369855284690857	-0.42877280712127686
752.0	-0.37450334429740906	-0.4326655864715576
766.0	-0.3586250841617584	-0.4361092746257782
768.0	-0.3358127176761627	-0.4375128149986267
